
Anker: Jujuy 2290,-32.93514685701978, -60.65226338331967
pichincha: Alvear 51 bis, -32.93358053072704, -60.65204445282001
feelin: italia 301, -32.93900940522283, -60.646288992277405
Mercadozarpado: San Luis 1038, -32.94903544740613, -60.637804507574444
Club Terrazas: Jujuy 1351, -32.93773864026596, -60.63962129474464
gran chopp: pelegrini 1590, -32.95584090950327, -60.64762525547497
Growler abasto: Pte. Roca 1898, -32.9581832691446, -60.64852429278909
colegio arq: Av. Belgrano 646, -32.94609580128957, -60.63161651939801 
Bouquet: San Juan 1777, -32.948660819382084, -60.648521853147095
Lumvra: pellegrini 1646, -32.95559205181681, -60.64852955757221

